YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2022,4,10,7.07,7.5,-999,252.28,-999,-999,27.46,2.18,14.82,27.57,5,22.38,0,90.76,3.36,4.55,0.59,3.97,181.5
2022,4,11,7,-999,-999,276.23,-999,-999,28.88,1.71,15.3,28.51,4.88,19.75,0,90.7,3.19,5.27,0.45,4.83,177.31
2022,4,12,6.09,-999,-999,310.02,-999,-999,28.05,4.15,16.1,27.31,5.74,23.25,0,90.67,2.88,3.6,1.76,1.84,144.5
2022,4,13,6.59,-999,-999,304.07,-999,-999,27.65,3.78,15.72,28.22,5.55,23.31,0,90.62,3.98,5.62,2.48,3.15,137.06
2022,4,14,5.33,-999,-999,302.29,-999,-999,27.3,3.08,15.19,28.24,5.31,22.56,0,90.54,3.12,5.27,1.63,3.65,158
2022,4,15,6.07,-999,-999,290.35,-999,-999,25.89,0.93,13.4,27.01,4.58,21.44,0,90.59,2.8,4.67,0.42,4.25,185.06
2022,4,16,6.56,-999,-999,281.18,-999,-999,26.33,3.02,14.67,27.36,5.25,23.69,0,90.57,2.88,4.07,0.91,3.16,158.44
2022,4,17,7.29,-999,-999,266.21,-999,-999,27.18,3.77,15.48,28.29,5.55,23.94,0,90.67,2.86,4.41,0.34,4.07,185.94
2022,4,18,7.19,7.66,-999,269.57,-999,-999,28.8,2.44,15.62,29.15,5.07,20.38,0,90.82,2.94,5.2,1.07,4.12,217.88
2022,4,19,6.52,7.62,-999,282.96,-999,-999,29.67,2.54,16.1,30.02,5.07,19.38,0,90.98,3.11,5.07,1.27,3.8,200.56
2022,4,20,7.27,-999,-999,274.98,-999,-999,29.07,3.87,16.47,29.22,5.62,21.31,0,90.86,3.77,6.9,1.72,5.17,191.75
2022,4,21,3.6,-999,-999,308.8,-999,-999,27.4,5.76,16.58,26.68,6.35,25.88,0,90.92,2.25,5.73,0.15,5.58,118.56
2022,4,22,5.35,-999,-999,298.34,-999,-999,26.38,3.87,15.12,27.34,5.62,25.56,0,91.05,2.59,4.93,0.26,4.67,204.31
2022,4,23,6.76,7.84,-999,260.8,-999,-999,26.39,3.1,14.75,27.38,5.25,24.19,0,91.02,3.77,6.14,1.6,4.54,235.25
2022,4,24,7.55,7.88,-999,258.78,-999,-999,26.76,1.01,13.88,27.27,4.58,20.75,0,90.82,4.07,7.9,2.1,5.8,213.31
2022,4,25,5.86,7.82,-999,290.27,-999,-999,27.77,3.08,15.43,27.94,5.31,21.69,0,90.73,4.05,7.47,1.72,5.74,197.25
2022,4,26,7.24,-999,-999,275.27,-999,-999,28.62,4,16.31,28.9,5.62,21.88,0,90.81,3.28,5.88,0.67,5.2,227.88
2022,4,27,7.62,7.89,-999,271.35,-999,-999,29.62,1.81,15.72,29.64,4.82,18.19,0,90.75,3.52,6.21,1.41,4.8,212.69
2022,4,28,6.71,7.88,-999,292.17,-999,-999,30.83,2.3,16.57,31.26,5,17.69,0,90.79,3.48,6.11,1.55,4.55,178.88
2022,4,29,5.27,-999,-999,307.32,-999,-999,31.03,3.98,17.51,31.98,5.62,19.81,0,90.76,3.62,5.66,1.8,3.87,188
2022,4,30,6.18,7.89,-999,300.3,-999,-999,32.19,4.76,18.48,32.41,5.98,19.12,0,90.49,3.34,6.2,1.33,4.88,178.81
2022,5,1,5.81,-999,-999,322.98,-999,-999,30.79,5.81,18.3,32.05,6.41,21.94,0,90.44,3.33,5.14,1.6,3.54,161.88
2022,5,2,6.44,-999,-999,311.84,-999,-999,29.44,9.47,19.45,31.09,8.24,30.06,0.01,90.49,3.81,5.48,1.69,3.79,137.94
2022,5,3,3.31,-999,-999,316.8,-999,-999,29.5,11.33,20.41,31.34,9.28,34.38,0.04,90.67,2.84,4.68,0.9,3.78,151.56
2022,5,4,3.8,-999,-999,320.79,-999,-999,28.65,10.87,19.76,30.7,9.03,35.69,2.72,90.89,3.37,4.64,1.81,2.83,135
2022,5,5,6.11,7.85,-999,299.56,-999,-999,27.3,10.48,18.89,29.3,8.79,36.81,0.04,90.85,3.2,5.61,0.5,5.11,236.81
